name,image,ingredients,calories,fat,carbs,protein
Shakshuka,https://www.edamam.com/web-img/dfe/dfe69f3d4626986c81f5863fb8ec1838.jpg,Bell pepper|Black pepper|Clove|Garlic|Capsicum|Paprika|Olive|Olive oil|Sugar|Bay leaf|Tomato|Egg as food|Bread|Yellow onion|Onion|Juice|Oil|Pimiento|Salt,230.5219531875,18.67923582875,9.473898996875,7.728415024375
Chef John's Shakshuka,https://www.edamam.com/web-img/4c3/4c3f0ff89cfb274f5f7b065807efe0eb.jpg,Olive|Salt|Jalapeño|Black pepper|Water|Bell pepper|Tomato|Cheese|Feta|Plum tomato|Plum|Cumin|Paprika|Oil|Olive oil|Cayenne pepper|Turmeric|Mushroom|Onion|Egg as food|Parsley,172.05957859143848,10.87565179914827,10.56119413441313,9.073329348612715
Grilled Shrimp With Chive Polenta Cakes Recipe,https://www.edamam.com/web-img/32d/32d3fe041e1d046c4ed410be388865ba.jpg,Sugar|Oregano|Basil|Black pepper|Cornmeal|Salt|Kosher salt|Milk|Chives|Skewer|Olive oil|Oil|Polenta|Butter,522.2272760609706,25.74860444841867,41.47930878423697,30.185472179208602
"Grilled Shrimp with Chile, Cilantro, and Lime",https://www.edamam.com/web-img/1e9/1e90c8e3e7852829e75edfffd512e1e2.jpg,Ginger|Fish sauce|Turmeric|Coriander|Palm sugar|Sugar|Vegetable oil|Vegetable|Brown sugar|Juice|Lime (fruit)|Oil|Garlic|Clove,263.38333333304223,15.221904166666667,25.83684479159152,9.32191249999991
Grilled Shrimp Fajitas,https://www.edamam.com/web-img/291/291861a15fdf0ad4418a1693e10f79f6.jpg,Cumin|Chili pepper|Bell pepper|Chili powder|Lime (fruit)|Salsa (sauce)|Avocado|Cabbage|Canola oil|Oil|Kosher salt|Salt|Onion|Garlic|Clove|Juice|Coriander|Zest (ingredient)|Tomatillo|Wheat tortilla|Flour|Tortilla|Orange juice,393.38677067500004,11.43549448425,50.101240141750004,23.08164913925
"Thai Marinated, Skewered and Grilled Jumbo Shrimp",https://www.edamam.com/web-img/d9e/d9edc6c9345943097903459acba99d20.jpg,Fish sauce|Garlic|Bamboo|Salt|Lime (fruit)|Milk|Vegetable oil|Oil|Vegetable|Skewer|Ginger|Coconut milk|Coconut|Tamarind|Juice|Sriracha sauce|Zest (ingredient)|Kosher salt,206.52485926651912,18.588494999990363,6.294699999975133,6.775073333338244
Grilled Sour Cream-Marinated Shrimp,https://www.edamam.com/web-img/460/4601e297be710bdc781f3039e01bf0de.jpg,Sour cream|Cream|Black pepper|Butter|Garam masala|Seed|Garlic|Clove|Salt|Chaat masala|Spice mix|Ginger|Turmeric|Lime (fruit)|Cumin,226.4445,20.661305000000176,5.304457500001242,6.2927700000001785
Minimaist BBQ steak,https://www.edamam.com/web-img/650/650d69f8c93ba624b997113fdb1dad10.jpg,Olive|Black pepper|Fillet (cut)|Steak|Salt|Olive oil|Rib eye steak,1106.5032640000002,79.2459,0,92.2
Asian BBQ Steak Lettuce Wraps with Mango,https://www.edamam.com/web-img/12d/12da875941993184cca1ec812eba9f4c.jpg,Chili pepper|Mango|Juice|Lime (fruit)|Mentha|Steak|Coriander|Lettuce|Soy sauce,141.82064018731745,7.445606860749478,6.562259374960495,12.774954927745847
Skirt Steak with Chimichurri Sauce,https://www.edamam.com/web-img/c3f/c3f8ba0b07031796dedce75dc798bdfc.jpg,Black pepper|Salt|Steak|Kosher salt|Chimichurri,641.8941366116626,54.267128821097245,5.367581424691875,34.977833327065866
"Chinese Pepper Steak (Stir-Fried Beef with Onions, Peppers, and Black Pepper Sauce) Recipe",https://www.edamam.com/web-img/ae9/ae9bd4017e59ad38d94e092b6fa84518.jpg,Peanut|Bell pepper|Canola oil|Oil|Kosher salt|Salt|Onion|Black pepper|Garlic|Scallion|Chicken as food|Meat|Clove|Vegetable|Soy sauce|Stock (food)|Sugar|Sherry|Wine|Ginger|Sesame oil|Sesame|Steak|Hanger steak|Starch|Maize|Corn starch,442.99069984696456,27.441251173805526,18.45657680549383,27.477964117388712
Bbq Pork Steaks With Smoky Corn,https://www.edamam.com/web-img/3f7/3f7403cbfffc1ab75731da417824b32a.jpg,Vinegar|Maize|Ketchup|Tomato|Steak|Muscovado|Corn on the cob|Sugar|Pork loin|Pork|Wine|White wine|Butter|Paprika,818.0965000002559,47.10752250000025,27.056802500069487,70.61488000000264
"Seared Salmon Tacos With Bbq Black Beans, Cabbage Slaw, And Chipotle Crema",https://www.edamam.com/web-img/52e/52e6458a5e63770579119bfccce291be.jpg,Queso blanco|Dijon mustard|Black turtle bean|Bean|Shallot|Salt|Chipotle|Cumin|Oil|Salmon|Scallion|Poblano|Mustard (condiment)|Chili powder|Lemon|Tortilla|Olive oil|Sugar|Garlic|Clove|Cabbage,264.50915183895836,13.30682294480486,18.496901782447917,17.859247770867363
Chile Garlic Bbq Salmon,https://www.edamam.com/web-img/744/744a98ca24a9ee8a251add05081c7b9b.jpg,Clove|Garlic|Soy sauce|Hot sauce|Lime (fruit)|Salmon|Brown sugar|Sugar|Ginger|Scallion|Onion,494.0103981332188,30.57422219366607,5.293938541638836,47.5340368103325
Chile Garlic BBQ Salmon Recipe,https://www.edamam.com/web-img/87f/87f85a527c92cd1f65292db96c239a2c.jpg,Ginger|Sugar|Brown sugar|Soy sauce|Hot sauce|Salmon|Onion|Scallion|Garlic|Clove|Lime (fruit),490.66039813321885,30.55188886033274,4.116971874972171,47.455870143665834
